DEPARTMENT,NAME,POPULATION,LEG2011ID,LEG2011TUR,RDRLEG2011,PDCILEG11,LEG2011WIN,N2011WINPC,MUN2013ID,MUN2013TUR,RDRMUN2013,PDCIMUN13,MUN2013WIN,N2013WINPC,Ouattara2010votes,total2010votes,Ouattara2010vs,Primary.Ethnicity,Mining.EconActivity,PavedRoad.Access,Prefecture,Mairie,Gendarmerie.Police.Poste,HealthClinic,Secondary.School,Bank,ServiceAccess.Index,Feel.Secure,DateFNarrived,FN.Presence.Type,FN.Commander,Commander.FromDepartment,Joined.FN,Joined.Ethnicity,Joined.Roles,Joined.Num,Majority.FN.FromElsewhere,Foreign.FN.Origins,Other.Armedgroups,Combat,Combat.Groups,Combat.Years,Combat.CasualtiesNum,Civilian.Victims,Civilian.Victims.Reason,Civilian.Victims.Num,Pillage,Pillage.Auteurs,FN.Organizedmeetings,Leaders.Cooperated,Cooperation.Types,Which.Leaders.Cooperated,Leaders.Opposed,Which.Leaders.Opposed,Leaders.Fled,Which.Leaders.Fled,MaintainOrder,LandDisputes,ProtectfromAttacks,Education,Education.FNinvolved,Health,Health.FNinvolved,Infrastructure,ProvideLoans,FN.CollectedTaxes,CollectedTaxes.How,Tensions,Tensions.Causes,ProvidedServices.Post2011,WhichServices.Post2011,CollectedTaxes.Post2011First2years,CollectedTaxes.Post2011First2years.How,ProvideServices.Today,ProvideServices.Today.How,CollectTaxes.Today,CollectTaxes.Today.How,CollectTaxes.Postwar.DUMMY,FN.LeaderVisits.Post2011First2years,FN.LeaderVisits.Post2011First2years.Why,FN.LeaderVisits.Today,FN.LeaderVisits.Today.Why,FN.LeaderVisits.DUMMY,FN.MaterialSupport.Post2011,MaterialSupport.Types,FN.Leader.LocalInterests,FN.MaterialSupport.DUMMY,FN.MP2016,FN.Maire,FN.ConseilRegional,FN.OtherPosition,FN.PoliticalPosition.DUMMY,Respondent.Profession,Respondent.Religion,Respondent.Ethnicity,Respondent.Education,Comprehension,Sincerity,Knowledge,ServiceAccess.Index2,Anypostwarinfluence,Ethnicity.Northern,Combat.DUMMY,Recruitment.DUMMY,Postwarinfluence.Index,FN.Organizedmeetings.DUMMY,Leaders.Cooperated.DUMMY,Predation.Index,CivilianViolence.DUMMY,Pillage.DUMMY,Tensions.DUMMY,CollaborativeGov,EliteSupport,Servicespost2011.DUMMY,Postwarinfluence.Index2,RDRindex,LPOP,BLOCKindex,FN.Governance.Index2,mining.DUMMY,LPOP2,spectrum,NAME2,commanderlocal.DUMMY,comzones,northern,pauv,harm_index_hh1,distance,victim,joined,taxed,supportFN_2,supportPROGOV,supportARMY,order
Séguéla,Sifi�,23667,205,68.9,80.7,18.4,RDR,80.7,185,62.3,34,50.2,PDCI,50.2,37406,44296,0.844455,koyaka,0,0,no,yes,no,yes,yes,no,3,yes,2002,Camp militaire,Djina; Koné mamourou; Diabi mamadou; Bamba,yes,yes,"Koyaka, burkinabe, maliens","Militaires, finances, activités plitiques",plus de deux-cent,no,"Nord, CEDEAO","dozos, forces impartiales",yes,FN-FDS,2003,don't know,yes,"indiscipline, politique, argent",plus de cent,yes,"FN, personnes de la communaité, criminels non identifiés",yes,yes,"mediation, public services","chefs traditionnels, religieux, politiciens locaux (RDR)",no,n/a,yes,"politiciens locaux, enseignants, personnel de sante, autres fonctionnaires",FN,"FN, chefs traditionnels","FN, forces impartiales","enseignants volontaires, acteurs internationaux, ONG locale",0,"personnels de santé volontaires, acteurs internationaux",0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les, impots au marché",occasionellement,mauvais comportements de certains éléments FN,no,n/a,no,n/a,no,n/a,no,n/a,0,yes,"Le general Bakayoko on l a vu seulement une fois depuis qu il est devenu chef d etat major, en occasion de la mort de son père.",no,no,1,yes,Dons/offres à la communauté (Losseni Fofana),no,1,no,no,no,no,0,agriculteur(chef du village),musulman,malinké,pas d'enseignement formel achevé,pas de difficulté,partiellemnt sincère,bonne connaissance,5,1,0,1,1,2,1,1,3,1,1,1,0,0,0,2,57.35,10.07183695,65.45,2,0,10.07183695,1,Sifi�,1,0,0.083333333,0.6,4.6875,NA,0.6,0.733333333,0.433333333,0,0,0,1.533333333
Botro,Krofoinsou,11948,58,64.2,NA,11.2,UPCI,65.6,149,52.7,6.02,53.4,PDCI,53.4,NA,NA,NA,Tagbana (Baoulé),0,0,no,no,no,no,no,no,0,no,2003,No permanent presence,none,don't know,no,n/a,n/a,n/a,yes,Burkina Faso,none,no,n/a,n/a,n/a,yes,Pillages,don't know,yes,FN,no,no,n/a,n/a,no,n/a,yes,missing,personne,chefs traditionnels,personne,"enseignants volontaires, autres personnes puissantes dans la communaute",0,personne,0,personne,personne,no,n/a,occasionellement,"mauvais comportement de FN, pillage de biens",no,n/a,no,n/a,no,n/a,no,n/a,0,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,don't know,0,Planteur,aucune religion,Baoulé,pas d'enseignement formel acheve,Quelques difficultues,Tres sincere,Connaissance moyenne,2,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,NA,9.388319179,59.5,0,0,9.388319179,0,Krofoinsou,0,0,0,NA,NA,0.47535449,NA,NA,NA,NA,NA,NA,NA
Katiola,Katiola,56681,96,44.5,44.9,55.1,PDCI,55.1,162,50.1,49.5,47.9,RDR,49.5,28895,47970,0.602356,Senoufo,1,1,yes,yes,yes,yes,yes,yes,6,yes,2002,Camp militaire,"Siriki, Ouattara, Vetcho",yes,yes,"Sénoufo, Malinké","Militaires, administrateurs, activitéspolitiques",entre cent et deux-cent,no,"Nord, CEDEAO","dozos, forces impartiales",no,n/a,n/a,n/a,yes,"Accidents (balles perdues), rapes",moins de vingt,yes,dont' know,yes,yes,"mediation, public services, political support","chefs traditionnels, religieux, politiciens locaux (RDR), Commerçants et hommes/femmes d’affaires, Enseignants (ceux qui n etaient pas de la localité sont partis), Leaders de la société civile (ONG), Leaders d’associations de jeunes, Chasseurs/dozos Hunting / dozo groups",no,n/a,yes,"politiciens locaux (FPI), enseignants (seulement ceux qui était d ailleurs)","FN, dozos",chefs traditionnels,FN,"enseignants professionels, enseignants volontaires, ONG locale, acteurs internationaux, FN",1,"personnels de santé professionels, personnels de santé volontaires",0,personne,"FN, autre personnes puissantes dans la communauté",yes,"directement des commerçants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",occasionellement,mauvais comportement de certains membres de FN (stopped after 2004),yes,"maintenir l'ordre (La gendarmerie a sollicité Vetcho au début, il a donné des armes aux gendarmes)",no,n/a,no,n/a,no,n/a,0,yes,Cérémonies publiques de nature religieuse ou nationale ,yes,"Cérémonies publiques de nature religieuse ou nationale (i.e. Ramadan, Fête de l'Indépendance, etc), Visite de nature privée (i.e. membres de la famille, amis) ",1,yes,"Dons/offres à la communauté, Dons/offres à des particuliers",yes,1,no,yes,no,"Fonctionnaire, chef de la branche locale du RDR",1,Travailleur manuel qualifié,Catholique,Senoufo,CEPE,Pas des difficultés,Partiellement sincère,Bonne connaissance,8,1,1,0,1,3,1,1,3,1,1,1,1,1,1,4,47.2,10.94519434,52.3,4,1,10.94519434,2,Katiola,1,1,0.189189189,0.5,1.222222222,0.509080725,0.45,0.45,0.65,0.05,0.05,0.1,1.7
Séguéla,Bobi-Diarabana (Bobi),25249,202,67.9,53.6,23.1,RDR,53.6,184,41,38.5,14.9,Independen,43.7,37406,44296,0.844455,Malinké,1,0,no,no,no,yes,no,no,1,yes,2002,Camp militaire,"Fofana, Samassi, Koné ",yes,yes,"
Malinké, CEDEAO","Militaires, travailleurs dans les mines, acheteurs de diamants",entre cinquante et cent,yes,"Nord, CEDEAO","dozos, forces impartiales",no,n/a,n/a,n/a,yes,Conflits liés a l exploitation des diamants,moins de vingt,yes,FN,yes,yes,"mediation, public services","chef traditionnel, politicien local, commercants",no,n/a,yes,enseignants,"FN, dozos",chefs traditionnels,FN,"enseignants professionels, enseignants volontaires, FN",1,personnels de santé professionels,0,personne,autres personnes puissantes dans la communauté,yes,"directement des commerçants, laisser-passer, barrages routiers, impots au marché, autre (taxes sur les diamants)",occasionellement,Questions de terre/propriété (Les FN empechaient aux autochtones d exploiter les diamants),yes,maintenir l'ordre,no,n/a,no,n/a,no,n/a,0,yes,Il réside ici ,yes,il réside ici ,1,no,n/a,no,0,no,no,no,no,0,Enseignant,Autre chrétien (enseignant),Bété,BEPC,Pas des difficultés,Très sincere,Bonne connaissance,3,1,1,0,1,1,1,1,3,1,1,1,1,0,1,2,46.05,10.13654183,48.65,4,1,10.13654183,2,Bobi-Diarabana (Bobi),1,0,NA,NA,NA,NA,0.6,0.733333333,0.433333333,0,0,0,1.533333333
Séguéla,Bobi-Diarabana (Diarabana),NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Malinké,1,1,no,no,no,yes,no,no,1,yes,2002,Camp militaire,none,don't know,yes,"
Malinké, CEDEAO",don't know,don't know,no,"Nord, CEDEAO","dozos, forces impartiales",no,n/a,n/a,n/a,yes,Dèsordre de la rebellion,don't know,no,n/a,yes,no,n/a,n/a,no,n/a,yes,"politiciens locaux, enseignants, personnel de santé (infirmier), autres fonctionnaires",FN,"FN, chefs traditionnels",FN,enseignants volontaires,0,personne,0,personne,personne,no,n/a,jamais,n/a,no,n/a,no,n/a,no,n/a,no,n/a,0,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,no,0,Minier,Islam,Malinké,BEPC,Quelques difficultés,Partiellement sincere,Bonne connaissance,3,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,NA,NA,NA,2,1,10.13654183,1,Bobi-Diarabana (Diarabana),0,0,NA,NA,NA,NA,0.6,0.733333333,0.433333333,0,0,0,1.533333333
Touba,Touba,33188,13,50.3,61.7,NA,RDR,61.7,172,48.5,42.3,32.9,RDR,42.3,21561,31623,0.681814,Maou,0,1,yes,yes,yes,yes,yes,yes,6,no,2002,Camp militaire,"Soumahorou Abou, Djah Gao, Koné Gaoussou, Dramane (com zone)",no,yes,Maou,Militaires,moins de cinquante,yes,"Bouaké, Nord","dozos, forces impartiales",yes,FN-FDS,2002,don't know,yes,le comportement des FN,plus de cent,yes,FN,yes,yes,"mediation, public services","chefs traditionnels, politiciens locaux, leaders de la societe civile",no,n/a,yes,"religieux, enseignants, personnel de sante, autres fonctionnaires","FN, dozos, forces impartiales",FN,"FN, dozos","FN, enseignants professionels, enseignants volontaires, ONG locale, acteurs internationaux",1,"FN, personnels de sante professionnel, acteurs internationaux",1,personne,personne,yes,"directedment des commercants, laisser-passer, barrages routiers, licences pour les taxis, imports au marché",frequemment,"questions de terre/propriete, mauvais comportement de certains elements des Forces Nouvelles",no,n/a,no,n/a,no,n/a,no,n/a,0,"oui, occasionnellement (une ou deux fois par an)",ceremonies de nature privee,no,n/a,1,no,n/a,yes,0,yes,yes,yes,no,1,menuisier,Islam,missing,CEPE,pas de difficultes,tres sincere,bonne connaissance,8,1,0,1,1,2,1,1,4,1,1,1,1,0,0,2,52,10.40994364,52,4,0,10.40994364,1,Touba,0,1,0.208333333,0.28,3,1.255356866,NA,NA,NA,NA,NA,NA,NA
Ouaninou,Koonan,6553,11,71.3,58.8,16.1,RDR,58.8,170,64.1,46.4,NA,Independen,53.6,NA,NA,NA,Maou,0,0,no,yes,no,yes,no,no,2,yes,2002,Camp militaire,Sylla - Allekele - Amed Billy - Vieux Ba (commandante de poste),no,yes,Maou,Militaires,moins de cinquante,yes,Nord,"dozos, forces impartiales",no,n/a,n/a,n/a,yes,le comportement des FN,entre cinquante et cent,yes,FN,yes,yes,"mediation, public services",chefs traditionnels,no,n/a,yes,"enseignants, autres fonctionnaires",FN,"FN, chefs traditionnels",FN,"enseignants professionnels, enseignants volontaires",0,"personnels de sante professionnel, acteurs internationaux",0,personne,personne,yes,"directedment des commercants, laisser-passer, barrages routiers, licences pour les taxis, imports au marché",frequemment,mauvais comportement de certains elements des Forces Nouvelles,no,n/a,no,n/a,no,n/a,no,n/a,0,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,no,0,chef du village,Islam,missing,pas d'enseignement formel acheve,quelques difficultes,partiellement sincere,connaissance moyenne,4,0,0,0,1,0,1,1,4,1,1,1,0,0,0,0,52.6,8.787678239,56.2,2,0,8.787678239,0,Koonan,0,0,0,NA,NA,1.268575525,0.4,0,0.1,0.2,0,0.2,3.4
Ouaninou,Ouaninou,20790,11,71.3,58.8,16.1,RDR,58.8,170,64.1,46.4,NA,Independen,53.6,NA,NA,NA,Maou,0,0,yes,yes,no,yes,yes,no,4,yes,2002,Camp militaire,"Tiken, Mamadou Sylla, Doumbia Siaka (commandants de secteur)",no,yes,Maou,"Militaires, civiles",plus de deux-cent,no,Nord,"dozos, forces impartiales, autre (liberien)",no,n/a,n/a,n/a,yes,le comportement des FN,plus de cent,yes,FN,yes,yes,"mediation, public services, soutien a l'agenda politique ","chefs traditionnels, politiciens locaux",yes,chefs traditionnels,yes,"chefs traditionnels, politiciens locaux, commercants, enseignants, personnel de sante, autres fonctionnaires","FN, chefs traditionnels",chefs traditionnels,"FN, forces impartiales","chefs traditionnels, enseignants professionnels, enseignants volontaires, acteurs internationaux",0,", acteurs internationaux",0,FN,personne,yes,"directedment des commercants, laisser-passer, barrages routiers, licences pour les taxis, imports au marché",occasionellement,mauvais comportement de certains elements des Forces Nouvelles,yes,"maintenir l'ordre, resoudre les problemes de terre et les disputes sur des affaires de propriete",yes,"barrages routiers, directement des commercants",yes,"maintenir l'ordre, resoudre les problemes de terre et les disputes sur des affaires de propriete",yes,barrages routiers,1,"oui, moins frequemment que chaque mois mais plus que deux fois par an",visite de nature privee,"oui, moins frequemment que chaque mois mais plus que deux fois par an",visite de nature privee,1,no,n/a,no,0,no,no,no,no,0,chef du village,missing,Maou,pas d'enseignement formel acheve,pas de difficultes,tres sincere,bonne connaissance,6,1,0,0,1,1,1,1,3,1,1,1,1,0,1,2,52.6,9.942227381,56.2,3,0,9.942227381,2,Ouaninou,0,0,0.027777778,0.225,2.358974359,1.180070475,0.4,0,0.1,0.2,0,0.2,3.4
Katiola,Fronan,38917,96,44.5,44.9,55.1,PDCI,55.1,161,43.8,42.5,47.1,PDCI,47.1,28895,47970,0.602356,Senoufo,0,1,no,yes,yes,yes,missing,missing,3,no,2002,Camp militaire,don't know,don't know,yes,"Senoufo (Tagbana), etrangers",Militaires,moins de cinquante,yes,don't know,"dozos, forces impartiales",no,n/a,n/a,n/a,yes,Manifestés de population,don't know,yes,FN,no,yes,mediation,"chefs traditionnels (chef de canton), ",yes,"chefs traditionnels (towards end of rebellion, chef did not appreciate comportement of rebels, used occult power to cause an accident and kill some of them)",yes,enseignants,FN,"FN, chefs traditionnels",FN,"enseignants volontaires, parents",0,personnels de santé professionels,0,personne,personne,yes,"laisser-passer, barrages routiers, impots au marche",occasionellement,mauvais comportement de FN,no,n/a,no,n/a,no,n/a,no,n/a,0,yes,Visite chez des membres des élites communautaires,yes,Visite chez des membres des élites communautaires,1,don't know,n/a,yes,0,no,no,no,leader communautaier,1,fonctionnaire du mairie,Catholique,Tagbana,Baccalaureat +2,Pas de difficultes,Partiellement sincere,Connaissance moyenne,5,1,1,0,1,2,0,1,3,1,1,1,0,0,0,2,43.7,10.56918645,51.1,2,0,10.56918645,0,Fronan,0,0,0.028571429,NA,NA,0.72584222,0.45,0.45,0.65,0.05,0.05,0.1,1.7
Mankono,Ti�ningbou�,41218,23,55.6,30.6,9.72,RDR,30.6,178,52.6,60.5,39.5,RDR,60.5,38704,47697,0.811456,Malinké (Koro),0,1,no,yes,yes,yes,yes,yes,5,yes,2002,Barrage,Bamba CB,no,yes,Malinké (Koro),Militaires,moins de cinquante,no,"bouake, district des savanes, dinguele, burkina, mali","dozos, forces impartiales",no,n/a,n/a,n/a,yes,fausses accusations,moins de vingt,yes,FN,yes,no,n/a,n/a,no,n/a,yes,"politiciens locaux, enseignants, personnels de santé","FN, dozos",FN,"FN, dozos","enseignants volontaires, ONG locale, acteurs internationaux",0,personnels de santé volontaires,0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers",frequemment,"question de terre (propriété), mauvais comportement de certains elements des FN",no,n/a,yes,barrages routiers,no,n/a,no,n/a,1,oui (il a reside ici),Il reside ici,yes,réside ici,1,no,n/a,no,0,missing,no,no,no,1,agriculteur,musulman,koro,CEPE,ND,ND,ND,7,1,0,0,1,2,1,0,4,1,1,1,0,0,0,2,45.55,10.62663033,45.55,2,0,10.62663033,0,Ti�ningbou�,0,0,0.685714286,0.375,2.461538462,NA,0.45,0.5,0.5,0.05,0,0,1.45
Kani,Kani,31211,201,75.4,79.4,14.1,RDR,79.1,180,66.6,59.7,NA,RDR,59.7,NA,NA,NA,Malinké,0,1,yes,yes,yes,yes,yes,no,5,no,2002,Camp militaire,"""Grouman"", Mieté Abou (""Chef de secteur"")",yes,yes,"Malinké, Etrangers",Militaires,plus de deux-cent,no,"Nord, CEDEAO","dozos, forces impartiales",no,n/a,n/a,n/a,yes,Mauvais comportement de FN,don't know,yes,"FN, criminels",yes,yes,"mediation, public services","chefs traditionnels, religieux, autres fonctionnaires (maire), dozos",no,n/a,yes,"engseignants, personnel de sante, autres fonctionnaires","FN, dozos, forces impartiales",chefs traditionnels,"FN, dozos, forces impartiales","FN, enseignants professionels, enseignants volontaires, ONG locale, autres personnes puissante dans la communaute",1,"personnels de santé professionnels, personnels de santé volontaires, acteurs internationaux, politicens locaux",0,personne,personne,yes,"directement des commercants, autres (taxes sur anarchides, through centrale)",jamais,n/a,no,n/a,no,n/a,no,n/a,no,n/a,0,yes,il reside ici,"oui, il reside ici",visite de nature privee (coms-secteur lives here),1,no,n/a,yes,0,no,no,no,Homme/femme d'affaire,0,Maire,Islam,Malinké,,Pas de difficultes,"Pas du tout sincere (maire), but supplemented by other interviews in another village",Bonne connaissance,7,1,1,0,1,1,1,1,2,1,1,0,0,0,0,1,69.55,10.34852588,69.4,3,0,10.34852588,2,Kani,1,0,0.166666667,0.05,2.090909091,1.20472011,0.3,0.2,0.3,0,0,0,1.9
Niakaramandougo,Niakaramandougo,49824,97,43.4,64.6,35.3,RDR,64.6,163,45.4,43.2,26.1,RDR,43.2,NA,NA,NA,Tagbana,0,1,yes,yes,yes,yes,yes,yes,6,no,2002,Camp militaire,comsecteur (name unknown),no,yes,"Tagbana/Senoufo, Malinke, CEDEAO","Militaires, civiles",plus de deux-cent,no,"Nord, CEDEAO","dozos, forces impartiales",no,n/a,n/a,n/a,yes,"ils cocufiaient les jeunes, filles de la ville; les couvre feux non justifies; les vols par les FN",entre vingt et cinquante,yes,FN,no,no,n/a,n/a,no,n/a,yes,"politiciens locaux, enseignants, personnel de sante","FN, dozos, forces impartiales",FN,"FN, dozos","chefs traditionnels, enseignants volontaires, acteurs internationaux",0,"personnels de sante benevole, FN (sequestre par FN)",1,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché",occassionellement,"questions de terre/propriete, mauvais comportement de FN",yes,"maintenir l'ordre, resourdre les problemes de terre et les disputes sur des affaires de propriete",yes,"laisser-passer aux transporteurs, barrages routiers",no,n/a,no,n/a,1,no,n/a,"oui, occasionnellement (une ou deux fois par an)",visite de nature privee,1,no,n/a,yes,0,no,no,no,no,0,chef de canton,catholique,Tagbana,pas d'enseignement formele achevé,quelques difficultes,tres sincere,bonne connaissance,8,1,0,0,1,1,0,0,2,1,1,0,0,0,1,2,53.9,10.81625207,53.9,3,0,10.81625207,1,Niakaramandougo,0,0,0.5,0.4,1.315789474,1.08023063,0.1,0.4,0.2,0.05,0.1,0.05,2.25
Mankono,Bouandougou,35671,23,55.6,30.6,9.72,RDR,30.6,176,44.9,71.4,NA,RDR,71.4,38704,47697,0.811456,Koro,0,1,no,no,yes,yes,yes,no,3,no,2002,Camp militaire,"fils du chef (chef de poste), Lieutenant Bamba (comsecteur), Capitaine Dembele",missing,yes,"Malinké (Koro), Senoufo (tagbana)","Militaires, chargés de chercher la nourriture",moins de cinquante,yes,"abidjan, bouake, Nord, burkina, mali, liberia ","dozos, forces impartiales",no,n/a,n/a,n/a,no,n/a,n/a,yes,FN,no,yes,mediation,chefs traditionnels,no,n/a,yes,"politiciens locaux, enseignants, chefs traditionnels religieux","FN, dozos",chefs traditionnels,"FN, dozos","chefs traditionnels, enseignants volontaires, acteurs internationaux",0,"personnels de santé professionnels, personnels de santé volontaires, acteurs internationaux",0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché",jamais,n/a,yes,maintenir l'ordre,no,n/a,no,n/a,no,n/a,0,yes,il reside ici,yes,il reside ici,1,no,n/a,no,1,missing,no,no,no,1,agriculteur,musulman,koro,pas d'enseignement formele achevé,ND,ND,ND,5,1,0,0,1,3,0,1,1,0,1,0,0,0,1,4,51,10.48209331,51,2,0,10.48209331,0,Bouandougou,0,0,0.5,NA,NA,0.567088545,0.45,0.5,0.5,0.05,0,0,1.45
Koro,Koro,23596,10,52.3,65.2,NA,RDR,65.2,168,59.6,46.2,53.8,Independen,53.8,NA,NA,NA,Yacouba,0,1,yes,yes,yes,yes,yes,no,5,yes,2002,Camp militaire,Abou-Soumahoro Zoumana (commandant de secteur),no,no,n/a,n/a,n/a,yes,Nord,"dozos, forces impartiales",no,n/a,n/a,n/a,yes,le comportement des FN,plus de cent,yes,FN,no,no,n/a,n/a,no,n/a,no,n/a,"FN, dozos","FN, chefs traditionnels","FN, dozos","enseignants professionels, enseignants volontaires, ONG locale, acteurs internationaux",0,"personnels de sante professionnel, personnels de sante volontaires, acteurs internationaux",0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché",frequemment,mauvais comportement de certains elements des Forces Nouvelles,no,n/a,no,n/a,no,n/a,no,n/a,0,"oui, occasionnellement (une ou deux fois par an), Kone Zakaria est venu pour avoir des benedictions",ceremonies de nature privee,no,n/a,1,no,n/a,no,0,no,no,no,no,0,chef du village,Islam,Malinké,BEPC,quelques difficultes,partiellement sincere,bonne connaissance,7,1,0,0,0,1,0,0,4,1,1,1,0,0,0,1,55.7,10.06883249,59.5,2,0,10.06883249,-1,Koro,0,0,0.25,0.1,1.555555556,1.445425196,0.3,0.2,0.1,0.1,0,0.1,3
Koro,Niokosso,6308,9,73,60.5,NA,RDR,60.5,168,59.6,46.2,NA,Independen,53.8,NA,NA,NA,"Dyula (Beka, Finaga)",0,0,no,no,yes,yes,no,no,2,missing,2003,Camp militaire,Malokoa - chef de poste,no,yes,missing,Militaires,moins de cinquante,yes,,aucun,no,n/a,n/a,n/a,yes,"mauvaise comportement, predation",plus de cent,yes,FN,yes,yes,"mediation, public services",chefs traditionnels,no,n/a,yes,"enseignants, personnel de sante, autres fonctionnaires","FN, forces impartiales","FN, chefs traditionnels",FN,"enseignants professionels, enseignants volontaires, ONG locale, acteurs internationaux",0,"FN, acteurs internationaux",1,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, impots au marché",frequemment,"taxation, questions de terre/propriete, mauvaise comportement de certains elements de FN, conflits d'autorite entre leaders des FN",yes,"maintenir l'ordre, resourdre les problemes de terre et les disputes sur des affaires de propriete",yes,barrages routiers,no,n/a,no,n/a,1,no,n/a,no,n/a,0,no,n/a,no,0,no,no,no,no,0,"chef du village, chef de terre, fils de chef",Islam,Malinké,n/a (focus group),quelques difficultes,tres sincere,bonne connaissance,4,1,0,0,1,0,1,1,4,1,1,1,0,0,1,1,53.35,8.749573948,57.15,3,0,8.749573948,1,Niokosso,0,0,1,NA,NA,1.582129537,0.3,0.2,0.1,0.1,0,0.1,3
Korhogo,Kanoroba,18555,168,73.8,97.3,1.42,RDR,97.3,137,55.4,55.1,44.9,RDR,55.1,126646,161186,0.785713,Senoufo,0,0,no,no,no,yes,yes,no,2,no,2003,Camp militaire,Commandant Konaté (comsecteur),no,yes,"Senoufo, Malinke",Militaires,entre cinquante et cent,yes,Nord,dozos,no,n/a,n/a,n/a,no,n/a,n/a,no,n/a,yes,yes,"mediation, public services","chefs traditionnels, religieux, leaders d'associations de jeunes, dozos",no,n/a,yes,"enseignants, personnel de sante, autres fonctionnaires","FN, dozos",chefs traditionnels,"FN, dozos","chefs traditionnels, enseignants volontaires, autre (parents d'eleves)",0,"chefs traditionnels, acteurs internationaux",0,personne,personne,yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marché",jamais,n/a,yes,maintenir l'ordre,no,n/a,no,n/a,no,n/a,0,no,n/a,no,n/a,0,no,n/a,no,0,yes,no,no,homme/femme d'affaire,1,chef de canton,Animiste,Senoufo,pas d'enseignement formel acheve,pas de difficultes,tres sincere,bonne connaissance,4,1,1,0,1,1,1,1,0,0,0,0,1,0,1,2,76.2,9.828494573,76.2,2,0,9.828494573,1,Kanoroba,0,0,1,NA,NA,1.399148609,0.1375,0.425,0.1625,0.3625,0.1,0.1625,2.6375
Koro,Booko,18356,9,73,60.5,NA,RDR,60.5,166,60.3,36.7,NA,Independen,39.6,NA,NA,NA,Barala,0,0,no,yes,yes,yes,yes,no,4,yes,2002,Camp militaire,"Traore, Bagate (comsecteur)",no,yes,,Militaires,don't know,yes,Nord,"dozos, forces impartiales",no,n/a,n/a,n/a,no,n/a,n/a,yes,FN,yes,yes,mediation,chefs traditionnels,no,n/a,yes,"religieux, enseignants, personnel de sante, autres fonctionnaires",FN,"FN, chefs traditionnels",FN,enseignants volontaires,0,"personnels de sante benevole, acteurs internationaux",0,FN,personne,yes,"directement des commercants, laisser-passer, barrages routiers, licences pour les taxis, impots au marche",occasionellement,mauvais comportement de certains elements des Forces Nouvelles,yes,maintenir l'ordre,no,n/a,no,n/a,no,n/a,0,yes,ceremonies de nature privee,yes,ceremonies de nature privee,1,no,n/a,yes,0,yes,no,yes,no,1,chef du village,Islam,Barala,BEPC,pas de difficultes,tres sincere,bonne connaissance,6,1,0,0,1,2,1,1,2,0,1,1,0,0,1,3,48.6,9.817711776,50.05,3,0,9.817711776,2,Booko,0,0,0.861111111,0.8,1.684210526,1.780181717,0.3,0.2,0.1,0.1,0,0.1,3
Koro,Borotou,5353,9,73,60.5,NA,RDR,60.5,167,77.1,49.3,NA,Independen,50.7,NA,NA,NA,Malinké,0,1,no,yes,yes,yes,no,no,3,yes,2002,Camp militaire,Soumahoro - Dosso Aboulaye - Doumbia Souleymane - Coulibaly (commandant de secteur),no,yes,Malinké,"Militaires, civiles",entre cinquante et cent,no,Nord,"dozos, forces impartiales",no,n/a,n/a,n/a,yes,le comportement des FN,plus de cent,yes,FN,yes,no,n/a,n/a,no,n/a,yes,"enseignants, personnel de sante, autres fonctionnaires","FN, dozos, forces impartiales",chefs traditionnels,"FN, dozos","FN, enseignants professionnels, enseignants volontaires, acteurs internationaux",1,"personnels de sante benevole, acteurs internationaux",0,personne,personne,yes,"barrages routiers, licences pour les taxis",occasionellement,mauvais comportement de certains elements des Forces Nouvelles,no,n/a,no,n/a,no,n/a,no,n/a,0,"oui, occasionnellement (une ou deux fois par an)",ceremonies de nature privee,"oui, occasionnellement (une ou deux fois par an)",ceremonies de nature privee,1,no,n/a,missing,0,no,no,no,leader communautaire,0,chef du village,Islam,missing,Baccalaureat,pas de difficultes,tres sincere,bonne connaissance,5,1,1,0,1,1,1,0,3,1,1,1,0,0,0,1,54.9,8.58541243,55.6,3,0,8.58541243,2,Borotou,0,0,NA,NA,NA,1.699453176,0.3,0.2,0.1,0.1,0,0.1,3
